id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Bassline Prophets,hip hop,energetic,0.85,95,0.65,0.88,0.08
12,Moonlit Sonata Dreams,Elena Voss,classical,peaceful,0.20,66,0.55,0.15,0.95
13,Old Porch Stories,Willow Creek,folk,nostalgic,0.33,84,0.58,0.35,0.82
14,Iron Revolt,Grave Circuit,metal,angry,0.97,168,0.25,0.45,0.03
15,Velvet Whisper,Sable & Wine,r&b,romantic,0.55,88,0.70,0.68,0.30
16,Neon Horizon,Pulse Theory,house,euphoric,0.88,126,0.80,0.90,0.05
17,Backroad Sunset,Dusty Miles,country,warm,0.50,100,0.72,0.55,0.60
18,Island Sway,Tide & Tamarind,reggae,laid-back,0.45,78,0.75,0.70,0.40
19,Rainy Window Blues,Delta Hollow,blues,melancholic,0.38,68,0.30,0.40,0.55
20,Broken Curfew,Static Riot,punk,rebellious,0.95,175,0.55,0.60,0.05
